family,map,config,instance,alg,expanded,cost,optimal,time_ms,status,mvc,exp_over_mvc
industrial-plants,plant01,diag,35,gbfs,80,53.576800,51.284300,0.631,subopt,2374.0,0.03369839932603201
industrial-plants,plant01,diag,36,astar,2399,84.854949,84.854900,5.356,ok,2165.0,1.1080831408775982
industrial-plants,plant01,diag,36,rastar,27437,84.854949,84.854900,70.122,ok,2165.0,12.6729792147806
industrial-plants,plant01,diag,36,mm,23406,84.854949,84.854900,151.001,ok,2165.0,10.81108545034642
industrial-plants,plant01,diag,36,bia,4783,84.854949,84.854900,12.881,ok,2165.0,2.2092378752886837
industrial-plants,plant01,diag,36,bae,23718,84.854949,84.854900,79.762,ok,2165.0,10.955196304849885
industrial-plants,plant01,diag,36,nbs,10252,84.854949,84.854900,24.521,ok,2165.0,4.735334872979215
industrial-plants,plant01,diag,36,gbfs,132,86.704555,84.854900,0.777,subopt,2165.0,0.06096997690531178
industrial-plants,plant01,diag,37,astar,2399,112.833576,112.834000,5.675,ok,2339.0,1.0256519880290722
industrial-plants,plant01,diag,37,rastar,79165,112.833576,112.834000,230.725,ok,2339.0,33.845660538691746
industrial-plants,plant01,diag,37,mm,55536,112.833576,112.834000,493.085,ok,2339.0,23.74348011970928
industrial-plants,plant01,diag,37,bia,4793,112.833576,112.834000,12.911,ok,2339.0,2.049166310389055
industrial-plants,plant01,diag,37,bae,68593,112.833576,112.834000,317.341,ok,2339.0,29.325780247969217
industrial-plants,plant01,diag,37,nbs,8428,112.833576,112.834000,22.555,ok,2339.0,3.6032492518170156
industrial-plants,plant01,diag,37,gbfs,168,116.649081,112.834000,1.140,subopt,2339.0,0.07182556648140231
industrial-plants,plant01,diag,38,astar,2399,105.059166,105.059000,4.789,ok,2339.0,1.0256519880290722
industrial-plants,plant01,diag,38,rastar,45537,105.059166,105.059000,130.422,ok,2339.0,19.468576314664386
industrial-plants,plant01,diag,38,mm,39932,105.059166,105.059000,355.241,ok,2339.0,17.07225309961522
industrial-plants,plant01,diag,38,bia,4791,105.059166,105.059000,12.681,ok,2339.0,2.0483112441214195
industrial-plants,plant01,diag,38,bae,22763,105.059166,105.059000,80.704,ok,2339.0,9.731936725096196
industrial-plants,plant01,diag,38,nbs,7732,105.059166,105.059000,18.475,ok,2339.0,3.305686190679778
industrial-plants,plant01,diag,38,gbfs,196,115.940397,105.059000,1.077,subopt,2339.0,0.0837964942283027
