family,map,config,instance,alg,expanded,mvc,exp_over_mvc
descent,level02,nodiag,294,nbs,2181414,2659056.0,0.8203715905193422
descent,level02,diag,299,nbs,1982102,2073175.0,0.9560707610307861
descent,level02,nodiag,300,nbs,2096486,2295565.0,0.913276687874227
descent,level02,nodiag,312,nbs,1965942,2275827.0,0.8638363109322458
descent,level02,nodiag,317,nbs,2410208,3071844.0,0.7846127602833998
descent,level02,nodiag,320,nbs,1588734,2186927.0,0.726468693285144
descent,level02,nodiag,322,nbs,1804184,1960672.0,0.9201865482854857
descent,level02,nodiag,328,nbs,2179320,2383789.0,0.9142252103688707
descent,level02,nodiag,333,nbs,2175522,2377446.0,0.9150668406348662
descent,level02,nodiag,340,nbs,2187944,2754016.0,0.7944558056307589
descent,level02,nodiag,342,nbs,2140856,2671130.0,0.8014795236472954
descent,level02,nodiag,347,nbs,2181578,2748743.0,0.7936638674477752
descent,level02,nodiag,350,nbs,2208518,3392784.0,0.6509456540705214
descent,level02,nodiag,353,nbs,2179320,2383789.0,0.9142252103688707
descent,level02,nodiag,358,nbs,2186292,2694293.0,0.8114529488812093
descent,level02,nodiag,365,nbs,2109274,2253104.0,0.9361636213863186
descent,level02,nodiag,367,nbs,2113072,2437265.0,0.8669849195717331
descent,level02,nodiag,369,nbs,3549004,3571982.0,0.9935671568333772
descent,level02,nodiag,370,nbs,1933344,2267262.0,0.8527219174493288
descent,level02,nodiag,371,nbs,2001180,2282829.0,0.8766228219459277
descent,level02,nodiag,373,nbs,2179328,2383789.0,0.9142285663705974
descent,level02,nodiag,378,nbs,2181586,2640002.0,0.8263577073047672
descent,level02,nodiag,379,nbs,1774670,2259090.0,0.7855685253796882
descent,level02,nodiag,383,nbs,1881820,3280073.0,0.5737128411471331
descent,level02,nodiag,384,nbs,2032876,2296793.0,0.885093258295371
descent,level02,nodiag,397,nbs,2197658,2831607.0,0.7761168834516937
descent,level02,nodiag,398,nbs,2112152,3042230.0,0.6942775529792291
descent,level02,nodiag,404,nbs,2190692,2627342.0,0.8338054200785433
descent,level02,nodiag,407,nbs,1342368,1868284.0,0.7185031825996476
descent,level02,nodiag,408,nbs,2142710,2354527.0,0.9100384068647334
descent,level02,nodiag,417,nbs,2013816,2275391.0,0.8850417356841088
