VoxelMap: loaded 'benchmarks/industrial-plants/plants/plant01.3dmap' [voxel] 195x128x100, 87620 listed voxels, diagonals=1
instance,alg,expanded,generated,cost,optimal,time_ms,optimal_ok
9,mm,2,34,2.414214,2.414210,0.004,1
9,bae,2,34,2.414214,2.414210,0.003,1
9,nbs,2,34,2.414214,2.414210,0.003,1
9,gbfs,2,0,3.146264,2.414210,0.002,0
10,astar,801,18561,87.157000,87.157000,0.892,1
10,rastar,6739,167623,87.157000,87.157000,6.901,1
10,mm,5056,126851,87.157000,87.157000,7.293,1
10,bae,3609,88065,87.157000,87.157000,2.791,1
10,nbs,4944,122758,87.157000,87.157000,3.321,1
10,gbfs,106,0,89.353152,87.157000,0.168,0
11,astar,801,18202,65.069610,65.069600,0.573,1
11,rastar,14234,361549,65.069610,65.069600,10.237,1
11,mm,10573,270161,65.069610,65.069600,9.993,1
11,bae,11725,294604,65.069610,65.069600,8.770,1
11,nbs,5054,126886,65.069610,65.069600,3.095,1
11,gbfs,100,0,68.768824,65.069600,0.263,0
12,astar,801,18049,99.714755,99.714800,0.959,1
12,rastar,44944,1147488,99.714755,99.714800,53.420,1
12,mm,30381,779181,99.714755,99.714800,38.248,1
12,bae,33128,848447,99.714755,99.714800,20.788,1
12,nbs,11226,282006,99.714755,99.714800,5.814,1
12,gbfs,146,0,101.660738,99.714800,0.169,0
13,astar,801,18361,101.575342,101.575000,1.075,1
13,rastar,39927,1014929,101.575342,101.575000,23.965,1
13,mm,28653,732193,101.575342,101.575000,43.436,1
13,bae,18433,462286,101.671718,101.575000,10.981,0
13,nbs,12550,312295,101.575342,101.575000,6.201,1
13,gbfs,180,0,105.137278,101.575000,0.161,0
14,astar,801,18001,104.403040,104.403000,0.892,1
14,rastar,15094,379618,104.403040,104.403000,9.513,1
14,mm,9853,247123,104.403040,104.403000,17.227,1
14,bae,8169,199168,104.403040,104.403000,4.441,1
14,nbs,3820,92908,104.403040,104.403000,1.952,1
14,gbfs,150,0,108.044837,104.403000,0.162,0
15,astar,800,17756,126.375009,126.375000,0.771,1
15,rastar,87669,2199404,126.375009,126.375000,57.626,1
15,mm,43625,1085692,126.375009,126.375000,78.799,1
15,bae,25951,643373,126.375009,126.375000,15.623,1
15,nbs,9736,240139,126.375009,126.375000,4.491,1
15,gbfs,220,0,134.018264,126.375000,0.207,0
16,astar,801,14971,63.213203,63.213200,1.361,1
16,rastar,7039,170883,63.213203,63.213200,3.850,1
16,mm,4781,114265,63.213203,63.213200,76.324,1
16,bae,2459,55213,63.213203,63.213200,1.392,1
16,nbs,1554,33321,63.213203,63.213200,0.801,1
16,gbfs,120,0,65.899495,63.213200,0.082,0
17,astar,801,18447,139.756630,139.757000,0.544,1
17,rastar,2126,49874,139.756630,139.757000,1.142,1
17,mm,2053,47819,139.756630,139.757000,3.247,1
17,bae,1405,32689,139.756630,139.757000,0.730,1
17,nbs,2488,59340,139.756630,139.757000,1.203,1
17,gbfs,240,0,147.802390,139.757000,0.166,0
18,astar,801,17881,80.485281,80.485300,0.433,1
18,rastar,9818,228419,80.485281,80.485300,4.974,1
18,mm,7004,163249,80.485281,80.485300,7.394,1
18,bae,4509,104565,80.485281,80.485300,2.089,1
18,nbs,2194,48725,80.485281,80.485300,1.012,1
18,gbfs,150,0,82.777810,80.485300,0.107,0
19,astar,801,17929,69.137278,69.137300,0.517,1
19,rastar,12781,310257,69.137278,69.137300,7.067,1
19,mm,9932,240334,69.137278,69.137300,13.016,1
